Name,English,Year,English for search,Netizen,Special
"광해, 왕이 된 남자",Masquerade,2012,Masquerade_2012,9.24,7.27
도둑들,The Thieves,2012,The Thieves_2012,7.62,7.05
어벤져스,Avengers: Infinity War,2018,Avengers: Infinity War_2018,8.96,7.09
늑대소년,Daewit,2015,Daewit_2015,0.00,0.00
어메이징 스파이더맨,The Amazing Spider-Man,2012,The Amazing Spider-Man_2012,7.74,6.70
건축학개론,Architecture 101,2012,Architecture 101_2012,8.67,7.19
범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of Time,2011,Nameless Gangster : Rules of Time_2011,8.63,7.50
내 아내의 모든 것,All About My Wife,2012,All About My Wife_2012,8.57,6.77
다크 나이트 라이즈,The Dark Knight Rises,2012,The Dark Knight Rises_2012,9.02,7.69
댄싱퀸,Dancing Queen,2012,Dancing Queen_2012,8.87,6.00
바람과 함께 사라지다,The Grand Heist,2012,The Grand Heist_2012,7.59,5.75
맨 인 블랙 3,Men In Black 3,2012,Men In Black 3_2012,8.18,6.05
연가시,Deranged,2012,Deranged_2012,7.18,5.46
부러진 화살,Unbowed,2011,Unbowed_2011,8.92,7.61
후궁 : 제왕의 첩,The Concubine,2012,The Concubine_2012,6.90,6.00
화차,Helpless,2012,Helpless_2012,8.03,6.29
배틀쉽,Battalion,2018,Battalion_2018,2.27,0.00
브레이킹 던 part2,The Twilight Saga: Breaking Dawn - Part 2,2012,The Twilight Saga: Breaking Dawn - Part 2_2012,8.73,5.90
이웃사람,The Neighbors,2012,The Neighbors_2012,7.52,5.92
미션임파서블:고스트프로토콜,Mission: Impossible: Ghost Protocol,2011,Mission: Impossible: Ghost Protocol_2011,8.74,7.75
007 스카이폴,SKYFALL,2012,SKYFALL_2012,7.89,8.22
26년,26Years,2012,26Years_2012,6.40,5.73
내가 살인범이다,Confession of Murder,2012,Confession of Murder_2012,8.48,6.69
