china,korea
喂,[감탄사](비교적편하게부르는소리로)어이.야.[동사]기르다.사육하다.(음식이나약을)먹이다.
访问,[동사]방문하다.회견하다.방문하다.(정식으로)구경하다.둘러보다.(인터넷을)방문하다.둘러보다.
特意,[부사]특별히.일부러.
凡是,[부사]대강.대체로.
不免,[부사]면할수없다.피하지못하다.
雄伟,[형용사]웅대하고위세가넘치다.웅위하다.웅위하다.웅장하다.
荣幸,[형용사]매우영광스럽다.
朴素,[형용사](색채나디자인이)소박하다.화려하지않다.절약하다.알뜰하다.순박하고꾸밈이없다.맹아상태의.초기의.
尖锐,[형용사]날카롭다.예리하다.(물체의끝이)뾰족하고날카롭다[예리하다].(소리가)귀청이찢어지는듯날카롭다.격렬하다.날카롭다.
愤怒,[형용사]분노하다.
执行,[동사]집행하다.수행하다.실행하다.
选举,[동사]선거하다.선출하다.
协调,[형용사]어울리다.조화롭다.[동사]어울리게하다.조화롭게하다.
消灭,[동사]소멸하다.없어지다.없애다.사라지게하다.
委托,[동사]위탁하다.의뢰하다.
维护,[동사]유지하고보호하다.지키다.
实行,[동사]실행하다.
融化,[동사](얼음·눈따위가)녹다.융해되다.
嚷,[동사]큰소리로부르다.고함을치다.큰소리로다투다.소란을피우다.책망하다.나무라다.
侵略,[동사]침략하다.
勤劳,[동사](고생을마다않고)열심히일하다.부지런히일하다.
解放,[동사]해방하다.속박에서벗어나다.억압과박탈에서벗어나다.해방되다.해방되다.
煎,[동사](적은기름에)지지다.부치다.달이다.[양사]한약을달이는데세는단위.
雇佣,[동사]고용하다.
关怀,[동사]관심을가지고보살피다.배려하다.
服从,[동사]따르다.복종하다.
等候,[동사]기다리다.
祖先,[명사]선조.조상.조상.
罪犯,[명사]범인.죄인.
祖国,[명사]조국.
宗教,[명사]종교.
嘱咐,[동사]분부하다.당부하다.[명사]분부.당부.
枕头,[명사]베개.
真理,[명사]진리.
政策,[명사]정책.
宇宙,[명사]우주.우주.세계.
缘故,[명사]연고.원인.
液体,[명사]액체.
武器,[명사]무기.병기.투쟁의도구.
统治,[동사]통치하다.다스리다.지배하다.통제하다.[명사]통치.
通讯,[동사]편지를내다.통신하다.통신하다.문자나화상을전송하다.[명사]통신.뉴스.
铜[銅],[명사]동.구리.
体积,[명사]체적.
田野,[명사]논밭과들판.들.
塔,[명사]탑.탑모양의건축물.(Tǎ)성(姓).
寺庙,[명사]사원.절.
舌头,[명사]혀.적에관한정보를얻기위해사로잡은적.
神经,[명사]신경.정신이상.
荣誉,[명사]명예.영예.
企图,[명사]의도.[동사]의도하다.기도하다.
牵[牽],[동사]끌다.끌어잡아당기다.관련되다.연루되다.근심하다.늘생각하다.제약하다.견제하다.
品种,[명사]제품의종류.품종.품종.
谜语,[명사]수수께끼.
民主,[명사]민주.[형용사]민주적이다.
粒,[명사](～儿)알.알갱이.[양사]알.톨.
蜡烛,[명사]초.양초.
恐怖,[형용사]공포를느끼다.전율을느끼다.아주무섭다.[명사]공포분위기.
抗议,[동사]항의하다.[명사]항의.
卷[捲],[동사]말다.감다.(큰힘으로)말아올리다.휩쓸다.[명사](～儿)원통형으로말아놓은물건.(～儿)쥐안쯔.말이.
胡须,[명사]수염.
皇后,[명사]황후.
皇帝,[명사]황제.황제.황제.
横,[형용사]가로의.횡의.가로의.횡의.불합리하다.무리하다.가로의.횡의.
固体,[명사]고체.
光荣,[형용사]영광스럽다.영예롭다.[명사]영예.영광.
鸽子,[명사]비둘기.평화.
革命,[명사]혁명.대변혁.[동사]혁명하다.[형용사]혁명적이다.[동사]혁명하다.왕통(王統)을뒤집다.
肺,[명사]허파.폐.
丁,[명사]성년남자.장정.인구.식구수.종사하는사람.정.천간(天干)의네번째.
当代,[명사]당대.그시대.
磁带,[명사]자기테이프.
除,[동사]제거하다.없애다.[개사]…을(를)제외하고.…이외에.[동사]나누다.제(除)하다.관직을주다.제수(除授)하다.
乘,[동사]오르다.타다.곱하다.곱셈하다.이용하다.
朝代,[명사]왕조의연대.조대.(어떤)시기.시대.
差别,[명사]차별.차이.
残疾,[명사]불구.장애.장애우.장애인.
丙,[명사]불(火)을지칭하기도함.병(丙).(순서·등급에서)세번째.제3위.(Bǐng)성(姓).
棉花,[명사]목화솜.목화.면화
立方,[명사]입방.세제곱.입방체.입방미터.
诸位,[대명사]제위.여러분.
咋,[대명사]어째서.어떻게.
啥,[대명사]무엇.무슨.
若干,[대명사]약간.조금.
大伙儿,[대명사]모두들.모든사람.
以至,[접속사]…까지.…에이르기까지.…로하여.…때문에.
以致,[접속사]…이[가]되다.…을[를]가져오다[초래하다].
以免,[접속사]…하지않도록.…않기위해서.
以便,[접속사]…(하기에편리)하도록.…하기위하여.
倘若,"[접속사]만일[만약,가령]…한다면."
免得,[접속사]…하지않도록.…않기위해서.
连同,[접속사]…과함께.…과같이.
况且,[접속사]게다가.더구나.
进而,[접속사]더나아가.진일보하여.
即便,"[접속사]설령…하더라도[할지라도·일지라도].[가설겸양보를나타내며,흔히‘也(yě)’·‘还(hái)’등의부사와함께쓰임]모종의극단적인상황을나타냄."
固然,[접속사]물론…하[이]지만.물론…(이)거니와.
反之,[접속사]이와반대로.바꾸어서말하면.
幢,[양사]동.채.
艘,[양사]척.[선박을헤아리는데쓰임]
摄氏度,[양사]섭씨(온도).[‘℃’로표기함]
毫米,"[양사]밀리미터(mm).[1미터의1,000분의1]"
足以,[부사]충분히…할수있다.…하기에족하다.
逐年,[부사]한해한해.해마다.
专程,[부사]특별히.일부러…에가다.
终究,[부사]결국.필경.
暂且,[부사]잠시.잠깐.
预先,[부사]사전에.미리.
毅然,[부사]의연히.결연히.
向来,[부사]본래부터.줄곧.
无非,[부사]단지.단지…에지나지않는다.
务必,[부사]반드시.꼭.
未免,[부사](불가피하게)꼭…하게되다.…을[를]면할수없다.…하다고[…이라고]하지않을수없다.아무래도…이다.
唯独,[부사]오직.홀로.
万分,[부사]대단히.극히.
统统,[부사]전부.모두.
索性,[부사]차라리.아예.
随即,[부사]바로.즉각.
私自,[부사]비밀리에.사적으로.
时而,[부사]때때로.이따금.때로는…때로는….
时常,[부사]늘.자주.
势必,[부사]반드시.꼭.
日益,[부사]날로.나날이더욱.
恰巧,[부사]때마침.공교롭게도.
偏偏,[부사]기어코.일부러.마침.공교롭게.유달리.유독.
宁愿,[부사]차라리…할지언정.설령…할지라도.
宁肯,[부사]차라리…할지언정.설령…할지라도.
默默,[부사]묵묵히.말없이.
明明,[부사]분명히.명백히.
屡次,[부사]여러번.누차.
历来,[부사]줄곧.항상.
连年,[부사]연년.여러해계속.
及早,[부사]미리.일찌감치.
就近,[부사]가까운곳에.근방에.
急剧,[부사]급격하게.급속히.
即将,[부사]곧.머지않아.
接连,[부사]연거푸.연이어.
皆,[부사]모두.전부.
胡乱,[부사]함부로.멋대로.대충대충.얼렁뚱땅.
姑且,[부사]잠시.잠깐.
过于,[부사]지나치게.너무.
公然,[부사]공개적으로.거리낌없이.
顿时,[부사]갑자기.곧바로.
大肆,[부사]제멋대로.함부로.
当面,[부사]직접마주하여.맞대면하여.
当场,[부사]당장.그자리에서.
不时,[부사]자주.늘.수시로.불시에.
不料,[부사]뜻밖에.의외에.
不禁,[부사]자기도모르게.절로.
不妨,[부사](…하는것도)괜찮다.무방하다.
甭,[부사]…할필요없다.…하지마라.
资深,[형용사]경력이오랜.베테랑의.
自满,[형용사]자만하다.
自发,[형용사]자발적인.스스로발생한.
自卑,[형용사]스스로남보다못하다고느끼다.스스로열등하다.
卓越,[형용사]탁월하다.출중하다.
庄重,[형용사]장중하다.위엄이있다.
庄严,[형용사]장엄하다.장중하고엄숙하다.
壮烈,[형용사]장렬하다.
壮丽,[형용사]장려하다.웅장하고아름답다.
周密,[형용사]주밀하다.주도면밀하다.
衷心,[형용사]충심의.
忠实,[형용사]충실하다.충직하고성실하다.진실하다.참되다.
忠诚,[형용사]충성하다.충실하다.
真挚,[형용사]성실한.참된.
珍稀,[형용사]진귀하고드물다.
郑重,[형용사]정중하다.점잖고엄숙하다.
正经,[형용사]정직하다.곧다.정당하다.정식의.표준의.엄숙하고진지하다.
正规,[형용사]정규의.표준의.
扎实,[형용사]견실하다.견고하다.착실하다.견실하다.
崭新,[형용사]참신하다.아주새롭다.
愚昧,[형용사]우매하다.어리석고사리에어둡다.
愚蠢,[형용사]어리석다.우둔하다.
原始,[형용사]원시의.원래의.오리지널의.
圆满,[형용사]원만하다.완벽하다.
幼稚,[형용사]유치하다.어리다.유치하다.수준이낮다.
优越,[형용사]우월하다.우량하다.
忧郁,[형용사]우울하다.침울하다.
优异,[형용사]특히우수하다.특출하다.
庸俗,[형용사]범속하다.비속하다.
永恒,[형용사]영원히변하지않다.영원하다.
隐约,[형용사]희미하다.흐릿하다.
英勇,[형용사]영용하다.매우용감하다.
英明,[형용사]영명하다.
一贯,[형용사]한결같다.일관되다.
异常,[형용사]심상치않다.예사롭지않다.[부사]특히.대단히.
野蛮,[형용사]야만적이다.미개하다.잔악하다.흉포하다.
遥远,[형용사](시간이나거리가)요원하다.아득히멀다.
耀眼,[형용사]눈부시다.
炎热,[형용사](날씨가)무덥다.찌는듯하다.
严厉,[형용사]호되다.매섭다.
严峻,[형용사]중대하다.심각하다.엄숙하다.위엄이있다.
严寒,[형용사]추위가심하다.아주춥다.
虚伪,[형용사]허위의.거짓의.
虚假,[형용사]거짓의.허위의.
细致,[형용사]정교하다.세밀하다.꼼꼼하다.치밀하다.
喜悦,[형용사]기쁘다.즐겁다.
羞耻,[형용사]수줍다.부끄럽다.
雄厚,[형용사](인력·물자등이)풍부하다.충분하다.
凶恶,[형용사]흉악하다.
新颖,[형용사]새롭다.신선하다.
欣慰,[형용사]기쁘고안심이되다.기쁘고위안이되다.
辛勤,[형용사]부지런하다.근면하다.
兴旺,[형용사]창성하다.흥성하다.
兴隆,[형용사]창성하다.흥성하다.
性感,[형용사]섹시하다.야하다.
狭窄,[형용사]비좁다.협소하다.(도량·견식등이)좁다.협애하다.
显著,[형용사]현저하다.뚜렷하다.
鲜明,[형용사]분명하다.명확하다.(색깔이)선명하다.
贤惠,[형용사]어질고총명하다.품성이곱다.
响亮,[형용사](소리가)크고맑다.우렁차다.
现成,[형용사]원래부터있는.다시준비할필요가없는.
狭隘,[형용사]좁다.(도량·견식등이)좁다.
无知,[형용사]무지하다.아는것이없다.
乌黑,[형용사]새까맣다.아주검다.
无耻,[형용사]염치없다.부끄러움을모르다.
